iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
5,2.413e+03,3.32e+08,1.83e+09,3.33e+06
5,1.730e+03,2.36e+08,2.67e+09,2.38e+06
5,2.167e+03,2.95e+08,2.23e+09,2.93e+06
5,2.080e+03,2.81e+08,1.75e+09,2.82e+06
5,1.935e+03,2.64e+08,1.64e+09,2.64e+06
5,1.732e+03,2.32e+08,3.02e+09,2.33e+06
5,1.943e+03,2.63e+08,2.70e+09,2.66e+06
5,1.812e+03,2.46e+08,1.14e+09,2.46e+06
5,1.898e+03,2.62e+08,1.83e+09,2.61e+06
5,2.425e+03,3.30e+08,1.35e+09,3.31e+06
5,2.117e+03,2.92e+08,3.10e+09,2.97e+06
5,2.505e+03,3.41e+08,1.93e+09,3.44e+06
5,1.963e+03,2.62e+08,1.61e+09,2.61e+06
5,2.272e+03,3.10e+08,2.38e+09,3.10e+06
5,2.238e+03,3.04e+08,1.46e+09,3.05e+06
5,2.229e+03,3.05e+08,2.78e+09,3.07e+06
5,2.054e+03,2.79e+08,1.46e+09,2.80e+06
5,1.914e+03,2.60e+08,2.13e+09,2.63e+06
5,2.122e+03,2.95e+08,3.38e+09,2.97e+06
5,2.321e+03,3.14e+08,1.56e+09,3.16e+06
5,2.526e+03,3.44e+08,2.07e+09,3.40e+06
5,1.904e+03,2.57e+08,1.48e+09,2.58e+06
5,1.719e+03,2.32e+08,4.45e+09,2.35e+06
5,2.260e+03,3.14e+08,1.16e+09,3.14e+06
5,1.798e+03,2.43e+08,1.92e+09,2.45e+06
5,2.443e+03,3.28e+08,2.59e+09,3.28e+06
5,1.554e+03,2.11e+08,8.74e+08,2.13e+06
5,2.745e+03,3.81e+08,2.21e+09,3.84e+06
5,2.471e+03,3.33e+08,1.64e+09,3.35e+06
5,2.049e+03,2.80e+08,2.66e+09,2.77e+06
5,2.104e+03,2.95e+08,2.04e+09,2.94e+06
5,2.183e+03,3.02e+08,2.11e+09,3.03e+06
5,1.661e+03,2.21e+08,2.24e+09,2.22e+06
5,2.254e+03,3.07e+08,2.60e+09,3.08e+06
5,1.609e+03,2.16e+08,1.68e+09,2.16e+06
5,2.065e+03,2.83e+08,2.27e+09,2.82e+06
5,2.460e+03,3.32e+08,2.46e+09,3.37e+06
5,1.976e+03,2.69e+08,2.42e+09,2.71e+06
5,2.169e+03,2.95e+08,1.93e+09,2.95e+06
5,1.941e+03,2.65e+08,1.09e+09,2.64e+06
5,2.737e+03,3.74e+08,2.87e+09,3.73e+06
5,2.412e+03,3.26e+08,3.01e+09,3.28e+06
5,2.214e+03,3.07e+08,2.28e+09,3.05e+06
5,2.846e+03,3.88e+08,1.67e+09,3.88e+06
5,2.467e+03,3.39e+08,2.20e+09,3.42e+06
5,1.884e+03,2.59e+08,1.21e+09,2.59e+06
5,2.166e+03,2.94e+08,2.70e+09,2.95e+06
5,2.199e+03,2.96e+08,1.50e+09,2.96e+06
5,2.275e+03,3.10e+08,2.18e+09,3.14e+06
5,2.095e+03,2.83e+08,1.29e+09,2.85e+06
5,2.850e+03,3.91e+08,2.58e+09,3.92e+06
5,2.247e+03,3.13e+08,1.64e+09,3.16e+06
5,2.262e+03,3.14e+08,1.79e+09,3.15e+06
5,2.298e+03,3.14e+08,1.11e+09,3.13e+06
5,1.898e+03,2.55e+08,2.08e+09,2.56e+06
5,2.064e+03,2.83e+08,2.45e+09,2.85e+06
5,2.372e+03,3.28e+08,2.57e+09,3.27e+06
5,2.088e+03,2.84e+08,2.75e+09,2.82e+06
5,2.245e+03,3.05e+08,1.60e+09,3.09e+06
5,2.304e+03,3.12e+08,1.66e+09,3.14e+06
5,1.977e+03,2.71e+08,1.42e+09,2.74e+06
5,2.271e+03,3.03e+08,1.19e+09,3.02e+06
5,1.808e+03,2.44e+08,1.73e+09,2.44e+06
5,2.285e+03,3.14e+08,3.57e+09,3.16e+06
5,1.784e+03,2.42e+08,8.43e+08,2.43e+06
5,1.921e+03,2.62e+08,2.23e+09,2.61e+06
5,1.968e+03,2.71e+08,3.17e+09,2.69e+06
5,2.262e+03,3.20e+08,3.12e+09,3.18e+06
5,2.010e+03,2.74e+08,1.79e+09,2.74e+06
5,2.719e+03,3.70e+08,2.54e+09,3.72e+06
5,1.932e+03,2.66e+08,1.93e+09,2.70e+06
5,2.064e+03,2.83e+08,2.38e+09,2.82e+06
5,1.957e+03,2.69e+08,1.59e+09,2.70e+06
5,2.142e+03,2.93e+08,9.10e+08,2.92e+06
5,2.686e+03,3.60e+08,2.73e+09,3.60e+06
5,2.626e+03,3.53e+08,1.47e+09,3.58e+06
5,2.379e+03,3.23e+08,1.83e+09,3.21e+06
5,1.875e+03,2.54e+08,3.39e+09,2.58e+06
5,1.817e+03,2.48e+08,3.10e+09,2.47e+06
5,2.187e+03,3.01e+08,2.27e+09,3.03e+06
5,2.421e+03,3.30e+08,1.87e+09,3.31e+06
5,2.398e+03,3.23e+08,1.93e+09,3.22e+06
5,1.708e+03,2.30e+08,3.21e+09,2.30e+06
5,2.367e+03,3.25e+08,2.06e+09,3.30e+06
5,2.202e+03,2.98e+08,2.29e+09,2.94e+06
