iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
259,3.675e+02,1.32e+07,1.87e+08,2.97e+05
260,4.072e+02,1.52e+07,8.75e+07,3.74e+05
261,3.258e+02,1.18e+07,1.69e+07,3.03e+05
262,3.282e+02,1.15e+07,1.91e+07,3.02e+05
263,3.916e+02,1.37e+07,2.54e+08,3.29e+05
264,3.857e+02,1.41e+07,2.12e+07,4.08e+05
265,3.668e+02,1.29e+07,5.06e+07,3.15e+05
266,3.428e+02,1.21e+07,1.77e+08,3.48e+05
267,3.459e+02,1.18e+07,1.58e+08,3.15e+05
268,3.430e+02,1.20e+07,1.87e+08,3.66e+05
269,3.021e+02,1.09e+07,4.10e+08,2.72e+05
270,3.754e+02,1.36e+07,4.82e+07,3.58e+05
271,3.111e+02,1.14e+07,2.61e+08,3.10e+05
272,3.170e+02,1.14e+07,1.72e+07,3.07e+05
273,2.608e+02,9.88e+06,6.43e+07,2.66e+05
274,3.089e+02,1.09e+07,1.12e+08,3.08e+05
275,3.770e+02,1.25e+07,8.41e+07,4.05e+05
276,3.561e+02,1.30e+07,1.00e+08,3.63e+05
277,2.487e+02,8.55e+06,1.89e+08,2.55e+05
278,3.358e+02,1.18e+07,8.12e+07,3.10e+05
279,3.771e+02,1.31e+07,1.61e+07,3.39e+05
280,4.388e+02,1.43e+07,4.45e+07,4.08e+05
281,4.112e+02,1.54e+07,6.54e+07,4.00e+05
282,4.119e+02,1.45e+07,7.30e+07,4.53e+05
283,3.634e+02,1.29e+07,1.12e+08,3.56e+05
284,3.293e+02,1.14e+07,2.62e+08,3.22e+05
285,4.237e+02,1.47e+07,8.16e+07,4.21e+05
286,3.462e+02,1.24e+07,2.50e+06,3.36e+05
287,3.542e+02,1.25e+07,2.05e+08,3.88e+05
288,3.315e+02,1.14e+07,1.02e+08,3.44e+05
289,4.617e+02,1.65e+07,1.85e+08,4.18e+05
290,2.921e+02,1.03e+07,5.53e+08,2.87e+05
291,5.059e+02,1.75e+07,1.94e+07,5.04e+05
292,3.415e+02,1.26e+07,2.35e+08,3.11e+05
293,3.492e+02,1.26e+07,7.35e+07,3.52e+05
294,3.363e+02,1.18e+07,8.91e+07,3.34e+05
295,3.702e+02,1.32e+07,1.05e+08,3.59e+05
296,3.300e+02,1.11e+07,1.70e+07,3.24e+05
297,3.203e+02,1.14e+07,2.92e+07,3.05e+05
298,2.963e+02,1.00e+07,8.70e+06,3.16e+05
299,3.270e+02,1.17e+07,3.51e+08,3.24e+05
300,4.000e+02,1.35e+07,6.97e+07,3.95e+05
301,3.057e+02,1.08e+07,1.66e+07,2.86e+05
302,4.050e+02,1.44e+07,6.66e+07,4.00e+05
303,3.441e+02,1.17e+07,1.10e+08,3.82e+05
