iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
243,4.493e+02,5.19e+06,1.03e+08,1.39e+05
244,2.978e+02,5.23e+06,2.69e+07,1.26e+05
245,3.873e+02,5.04e+06,2.03e+08,1.37e+05
246,3.312e+02,4.43e+06,8.22e+07,1.19e+05
247,4.042e+02,4.33e+06,2.13e+08,1.24e+05
248,3.299e+02,3.59e+06,2.87e+08,8.25e+04
249,4.589e+02,5.57e+06,1.30e+08,1.37e+05
250,2.967e+02,3.91e+06,2.53e+08,9.08e+04
251,3.325e+02,5.49e+06,5.00e+07,1.49e+05
252,3.703e+02,4.80e+06,1.18e+08,1.26e+05
253,3.069e+02,4.51e+06,1.67e+07,1.19e+05
254,3.935e+02,3.97e+06,9.89e+07,9.96e+04
255,3.753e+02,4.29e+06,1.11e+08,1.08e+05
256,2.707e+02,4.67e+06,2.75e+08,1.26e+05
257,4.005e+02,5.88e+06,1.31e+08,1.52e+05
258,3.534e+02,3.75e+06,8.06e+07,8.64e+04
259,3.120e+02,4.66e+06,1.50e+07,1.22e+05
260,3.191e+02,4.39e+06,5.37e+07,1.11e+05
261,3.563e+02,4.86e+06,8.73e+06,1.21e+05
262,3.100e+02,4.77e+06,1.30e+08,1.26e+05
263,4.415e+02,4.07e+06,1.20e+08,1.07e+05
264,3.226e+02,3.76e+06,1.64e+08,9.30e+04
265,2.910e+02,4.68e+06,2.76e+07,1.25e+05
266,3.583e+02,4.58e+06,9.05e+06,1.12e+05
267,4.159e+02,4.86e+06,2.46e+08,1.15e+05
268,3.625e+02,4.46e+06,2.06e+08,1.24e+05
269,3.895e+02,4.68e+06,1.10e+08,1.22e+05
270,2.683e+02,4.31e+06,1.61e+08,1.14e+05
271,3.402e+02,4.65e+06,2.44e+08,1.17e+05
272,3.171e+02,4.70e+06,3.76e+07,1.25e+05
273,3.371e+02,4.24e+06,2.38e+08,9.76e+04
274,4.123e+02,5.53e+06,1.49e+07,1.41e+05
275,4.548e+02,4.35e+06,7.54e+08,1.27e+05
276,4.265e+02,4.50e+06,8.80e+07,1.13e+05
277,4.237e+02,5.51e+06,1.19e+08,1.60e+05
278,3.814e+02,5.35e+06,1.49e+08,1.36e+05
279,3.622e+02,4.13e+06,1.27e+08,9.39e+04
280,3.264e+02,5.03e+06,1.49e+08,1.26e+05
281,3.584e+02,4.87e+06,1.00e+08,1.41e+05
282,4.175e+02,4.44e+06,8.03e+07,1.11e+05
283,3.515e+02,4.54e+06,1.16e+08,1.16e+05
284,3.713e+02,4.59e+06,6.25e+07,1.13e+05
285,3.098e+02,4.06e+06,9.12e+07,9.72e+04
286,2.818e+02,4.42e+06,5.13e+07,1.11e+05
287,2.308e+02,4.25e+06,5.39e+07,1.01e+05
288,3.684e+02,4.44e+06,7.37e+06,1.21e+05
289,4.018e+02,4.81e+06,9.93e+07,1.34e+05
290,3.948e+02,4.22e+06,5.61e+07,1.20e+05
291,3.305e+02,4.22e+06,1.33e+08,1.10e+05
292,3.439e+02,3.98e+06,1.27e+08,9.18e+04
293,3.105e+02,4.17e+06,1.70e+08,1.13e+05
294,2.890e+02,3.58e+06,8.37e+07,9.00e+04
295,3.216e+02,4.43e+06,3.41e+07,1.16e+05
296,3.394e+02,3.73e+06,6.00e+07,8.44e+04
297,3.438e+02,4.67e+06,1.91e+08,1.23e+05
298,3.968e+02,5.03e+06,1.36e+08,1.33e+05
299,3.983e+02,4.70e+06,9.47e+07,1.22e+05
300,3.348e+02,5.33e+06,2.70e+07,1.28e+05
301,3.599e+02,4.46e+06,2.54e+08,1.08e+05
302,3.617e+02,4.67e+06,1.16e+08,1.24e+05
303,3.467e+02,3.78e+06,1.71e+07,8.95e+04
304,3.206e+02,4.95e+06,1.10e+08,1.36e+05
305,3.477e+02,4.51e+06,2.52e+08,1.10e+05
306,3.497e+02,4.11e+06,1.13e+08,1.12e+05
307,4.202e+02,4.98e+06,2.96e+08,1.34e+05
308,3.631e+02,3.96e+06,6.15e+07,9.64e+04
309,3.236e+02,4.85e+06,8.73e+07,1.12e+05
310,3.360e+02,5.14e+06,1.52e+08,1.32e+05
311,3.855e+02,4.73e+06,3.69e+07,1.21e+05
312,3.901e+02,4.50e+06,1.91e+07,1.21e+05
313,2.870e+02,4.44e+06,2.54e+07,1.23e+05
314,3.108e+02,5.17e+06,7.28e+07,1.42e+05
315,3.715e+02,5.04e+06,6.37e+07,1.17e+05
316,3.572e+02,4.12e+06,1.42e+08,1.00e+05
317,3.386e+02,4.49e+06,1.00e+08,1.15e+05
318,4.024e+02,4.53e+06,0.00e+00,1.21e+05
319,3.667e+02,4.71e+06,2.39e+07,1.15e+05
320,3.839e+02,4.70e+06,1.35e+08,1.28e+05
321,3.453e+02,3.82e+06,6.00e+07,1.05e+05
322,4.217e+02,4.92e+06,1.98e+08,1.27e+05
323,3.435e+02,5.23e+06,1.98e+08,1.29e+05
324,3.627e+02,4.74e+06,1.54e+07,1.38e+05
325,4.192e+02,4.80e+06,1.10e+08,1.33e+05
326,3.310e+02,4.29e+06,5.58e+07,1.10e+05
327,3.928e+02,5.13e+06,5.23e+07,1.52e+05
328,3.898e+02,3.51e+06,3.25e+08,8.81e+04
329,3.138e+02,4.76e+06,2.62e+08,1.29e+05
330,3.885e+02,4.79e+06,2.86e+08,1.28e+05
331,3.495e+02,5.77e+06,1.71e+07,1.45e+05
